0	0	0	2
1	0	0	3
2	1	1	3
3	1	1	4
4	2	2	5
5	3	3	6
6	4	4	7
7	6	6	9
8	8	8	11
9	11	11	14
10	15	15	19
11	20	20	24
12	27	26	32
13	36	35	42
14	48	46	57
15	63	61	76
16	84	80	101
17	111	106	136
18	146	140	182
19	193	185	243
20	255	243	325
21	337	321	434
22	445	423	580
23	587	557	775
24	775	733	1035
25	1023	966	1383
26	1350	1271	1847
27	1782	1674	2466
28	2352	2204	3294
29	3103	2902	4400
30	4095	3821	5876
31	5404	5030	7848
32	7131	6622	10481
33	9409	8719	13997
34	12416	11478	18693
35	16383	15111	24965
36	21618	19893	33341
37	28525	26189	44526
38	37640	34477	59465
39	49666	45388	79414
40	65535	59752	106057
41	86474	78661	141637
42	114104	103555	189155
43	150561	136327	252614
44	198667	179470	337362
45	262143	236266	450541
46	345900	311036	601691
47	456418	409468	803548
48	602248	539050	1073126
49	794671	709641	1433142
50	1048575	934217	1913938
51	1383603	1000000	2556033
52	1825676	1000000	3413541
53	2408994	1000000	4558728
54	3178687	1000000	6088107
55	4194303	1000000	8130568
56	5534416	1000000	10858241
57	7302707	1000000	14501003
58	9635979	1000000	19365852
59	12714751	1000000	25862778
