0	1	1	1
1	1.32547	1.33269	1.31849
2	1.75687	1.77605	1.73841
3	2.32868	2.36692	2.29207
4	3.0866	3.15435	3.02206
5	4.09119	4.20376	3.98455
6	5.42275	5.60229	5.25357
7	7.18769	7.46609	6.92677
8	9.52707	9.94994	9.13285
9	12.6278	13.2601	12.0415
10	16.7378	17.6716	15.8766
11	22.1855	23.5507	20.9331
12	29.4062	31.3856	27.6
13	38.977	41.8272	36.3903
14	51.6629	55.7424	47.9801
15	68.4776	74.2871	63.2611
16	90.7651	99.0014	83.4089
17	120.306	131.938	109.974
18	159.462	175.831	144.999
19	211.363	234.328	191.179
20	280.155	312.285	252.067
21	371.337	416.178	332.347
22	492.196	554.634	438.195
23	652.391	739.153	577.754
24	864.725	985.058	761.761
25	1146.17	1312.77	1004.37
26	1519.21	1749.51	1324.25
27	2013.67	2331.55	1746.01
28	2669.06	3107.22	2302.09
29	3537.75	4140.95	3035.27
30	4689.19	5518.58	4001.97
31	6215.38	7354.53	5276.54
32	8238.3	9801.27	6957.05
33	10919.6	13062	9172.78
34	14473.6	17407.5	12094.2
35	19184.4	23198.8	15946
36	25428.3	30916.7	21024.6
37	33704.4	41202.2	27720.7
38	44674.2	54909.5	36549.4
39	59214.3	73177.1	48189.9
40	78486.8	97522.1	63537.7
41	104032	129966	83773.6
42	137891	173204	110454
43	182771	230826	145633
44	242257	307619	192015
45	321104	409959	253169
46	425614	546347	333800
47	564139	728108	440111
48	747749	970339	580280
49	991119	1.29316e+06	765092
50	1.3137e+06	1.72337e+06	1.00876e+06
51	1.74127e+06	2.29671e+06	1.33004e+06
52	2.308e+06	3.06079e+06	1.75364e+06
53	3.05918e+06	4.07907e+06	2.31215e+06
54	4.05486e+06	5.43612e+06	3.04854e+06
55	5.37459e+06	7.24463e+06	4.01946e+06
56	7.12386e+06	9.65482e+06	5.29961e+06
57	9.44246e+06	1.28668e+07	6.98747e+06
58	1.25157e+07	1.71474e+07	9.21288e+06
59	1.65892e+07	2.28521e+07	1.21471e+07
